,mon,cust_no,sex,age_flg,state,mem_tf_flg,batch_pass_dt,last_sell_dt,last_pass_dt,pack_flg,sell_amt,sell_cnt,sell_qty,basket_size,beauty_amt,beauty_cnt,beauty_qty,personal_amt,personal_cnt,personal_qty,health_amt,health_cnt,health_qty,living_amt,living_cnt,living_qty,etc1_amt,etc1_cnt,etc1_qty,b_wellnature_amt,b_wellnature_cnt,b_wellnature_qty,b_esroom_amt,b_esroom_cnt,b_esroom_qty,b_arrenbio_amt,b_arrenbio_cnt,b_arrenbio_qty,p_wellmate_amt,p_wellmate_cnt,p_wellmate_qty,p_wellmoplus_amt,p_wellmoplus_cnt,p_wellmoplus_qty,h_wellseed_amt,h_wellseed_cnt,h_wellseed_qty,h_health_amt,h_health_cnt,h_health_qty,h_litefit_amt,h_litefit_cnt,h_litefit_qty,h_wellmoplus_amt,h_wellmoplus_cnt,h_wellmoplus_qty,l_livingmate_amt,l_livingmate_cnt,l_livingmate_qty,l_tissue_amt,l_tissue_cnt,l_tissue_qty,l_dtc_amt,l_dtc_cnt,l_dtc_qty,l_spad_amt,l_spad_cnt,l_spad_qty,e_cprod_amt,e_cprod_cnt,e_cprod_qty,sell_class_1,sell_class_2,main_class_1,main_class_2,main_day,sell_cycle,r_score,f_score,m_score,rfm_score,rfm_grade,cust_grade,target_value
4289,202104,k89467  ,1,20대,서울,N,4.0,20210420,11.0,,796400.0,8,35.0,99550.0,183000.0,8.0,11.0,136500.0,5.0,11.0,186000.0,5.0,6.0,290900.0,6.0,7.0,,,,109000.0,5.0,8.0,65000.0,2.0,2.0,9000.0,1.0,1.0,136500.0,5.0,11.0,,,,151000.0,4.0,5.0,,,,35000.0,1.0,1.0,,,,266400.0,5.0,5.0,24500.0,1.0,2.0,,,,,,,,,,4,8.0,01,0401,1,24.0,90,100,70,85.72618882313394,2,1,0
4290,202104,k89522  ,1,50대,부산,N,13.0,20210420,11.0,,807800.0,7,28.0,115400.0,360000.0,4.0,6.0,60000.0,2.0,4.0,352000.0,4.0,12.0,35800.0,1.0,6.0,,,,,,,360000.0,4.0,6.0,,,,20000.0,1.0,3.0,40000.0,1.0,1.0,352000.0,4.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,4,4.0,01,0103,1,28.0,90,100,70,85.72618882313394,2,1,0
4291,202104,k89527  ,2,40대,대구,N,21.0,20210427,4.0,,1190500.0,9,360.0,132277.77777777778,,,,142000.0,5.0,9.0,558000.0,8.0,16.0,490500.0,6.0,325.0,0.0,1.0,10.0,,,,,,,,,,102000.0,4.0,8.0,40000.0,1.0,1.0,471000.0,7.0,14.0,,,,42000.0,1.0,1.0,45000.0,1.0,1.0,62100.0,2.0,6.0,17000.0,1.0,1.0,,,,,,,,,,4,7.0,03,0301,1,21.0,100,100,80,92.83177667225556,1,1,0
4292,202104,k89767  ,1,50대,부산,N,20.0,20210427,4.0,,696600.0,6,32.0,116100.0,153000.0,1.0,6.0,,,,483000.0,4.0,15.0,57600.0,1.0,1.0,3000.0,1.0,10.0,,,,144000.0,1.0,4.0,9000.0,1.0,2.0,,,,,,,483000.0,4.0,15.0,,,,,,,,,,57600.0,1.0,1.0,,,,,,,,,,,,,4,4.0,03,0301,1,25.0,100,90,70,85.72618882313394,2,1,0
4293,202104,k89862  ,1,50대,인천,N,0.0,20210423,8.0,,801900.0,7,48.0,114557.14285714286,65000.0,1.0,2.0,86000.0,6.0,6.0,568000.0,6.0,18.0,56900.0,1.0,6.0,26000.0,2.0,16.0,15000.0,1.0,1.0,50000.0,1.0,1.0,,,,86000.0,6.0,6.0,,,,568000.0,6.0,18.0,,,,,,,,,,,,,21500.0,1.0,2.0,,,,35400.0,1.0,4.0,,,,5,6.0,03,0301,1,28.5,90,100,70,85.72618882313394,2,1,0
4294,202104,k90041  ,2,40대,부산,N,3.0,20210406,25.0,,1053400.0,8,38.0,131675.0,335000.0,5.0,6.0,59500.0,2.0,4.0,291000.0,6.0,9.0,367900.0,6.0,19.0,,,,,,,125000.0,2.0,2.0,210000.0,3.0,4.0,59500.0,2.0,4.0,,,,291000.0,6.0,9.0,,,,,,,,,,,,,64500.0,2.0,8.0,,,,20200.0,1.0,2.0,,,,4,6.0,04,0301,1,20.0,70,100,80,82.42570599617112,2,1,0
4295,202104,k90086  ,1,40대,충북,N,0.0,20210427,4.0,,786000.0,7,35.0,112285.71428571429,210000.0,6.0,6.0,294000.0,6.0,21.0,174000.0,3.0,6.0,108000.0,1.0,2.0,,,,60000.0,3.0,3.0,150000.0,3.0,3.0,,,,294000.0,6.0,21.0,,,,174000.0,3.0,6.0,,,,,,,,,,108000.0,1.0,2.0,,,,,,,,,,,,,4,5.0,02,0201,1,28.0,100,100,70,88.79040017426004,2,1,0
4296,202104,k90258  ,2,30대,경기,N,0.0,20210420,11.0,,793200.0,7,38.0,113314.28571428571,,,,112000.0,4.0,7.0,322000.0,4.0,10.0,359200.0,7.0,20.0,0.0,1.0,1.0,,,,,,,,,,112000.0,4.0,7.0,,,,322000.0,4.0,10.0,,,,,,,,,,239600.0,3.0,7.0,58000.0,3.0,5.0,,,,30600.0,3.0,3.0,,,,4,5.0,04,0301,1,27.5,90,100,70,85.72618882313394,2,1,0
4297,202104,k90339  ,2,40대,경기,N,0.0,20210427,4.0,,707000.0,7,21.0,101000.0,,,,,,,707000.0,7.0,21.0,,,,,,,,,,,,,,,,,,,,,,707000.0,7.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,1,1.0,03,0301,1,28.0,100,100,70,88.79040017426004,2,1,0
4298,202104,k90494  ,2,20대,경북,N,3.0,20210420,11.0,,1002500.0,8,38.0,125312.5,147000.0,4.0,6.0,140000.0,2.0,8.0,674000.0,6.0,15.0,41500.0,3.0,5.0,0.0,4.0,4.0,47000.0,2.0,2.0,100000.0,2.0,4.0,,,,100000.0,2.0,7.0,40000.0,1.0,1.0,674000.0,6.0,15.0,,,,,,,,,,,,,41500.0,3.0,5.0,,,,,,,,,,5,6.0,03,0301,1,24.0,90,100,80,89.62809493114327,2,1,0
